"V1","V2","V3","V4","V5","V6","V7"
358,369,389,382,351,330,337
369,383,402,389,358,337,350
389,402,426,413,382,358,369
382,389,413,403,370,351,358
351,358,382,370,340,318,330
330,337,358,351,318,294,306
337,350,369,358,330,306,317
383,392,412,402,369,350,360
402,412,434,426,389,369,383
350,360,383,369,337,317,328
426,434,456,446,413,389,402
413,426,446,436,403,382,389
370,382,403,395,363,340,351
403,413,436,429,395,370,382
340,351,370,363,332,310,318
318,330,351,340,310,288,294
294,306,330,318,288,266,275
306,317,337,330,294,275,287
317,328,350,337,306,287,293
392,406,428,412,383,360,372
412,428,447,434,402,383,392
360,372,392,383,350,328,339
434,447,467,456,426,402,412
328,339,360,350,317,293,308
456,467,488,478,446,426,434
446,456,478,469,436,413,426
436,446,469,460,429,403,413
363,370,395,384,355,332,340
395,403,429,415,384,363,370
429,436,460,450,415,395,403
332,340,363,355,323,302,310
310,318,340,332,302,279,288
288,294,318,310,279,258,266
266,275,294,288,258,236,246
275,287,306,294,266,246,256
287,293,317,306,275,256,265
293,308,328,317,287,265,276
406,416,438,428,392,372,385
428,438,458,447,412,392,406
372,385,406,392,360,339,353
447,458,479,467,434,412,428
339,353,372,360,328,308,320
467,479,500,488,456,434,447
308,320,339,328,293,276,290
488,500,522,510,478,456,467
478,488,510,502,469,446,456
469,478,502,492,460,436,446
460,469,492,482,450,429,436
355,363,384,378,345,323,332
384,395,415,409,378,355,363
415,429,450,440,409,384,395
450,460,482,474,440,415,429
323,332,355,345,315,292,302
302,310,332,323,292,270,279
279,288,310,302,270,247,258
258,266,288,279,247,227,236
236,246,266,258,227,206,217
246,256,275,266,236,217,224
256,265,287,275,246,224,235
265,276,293,287,256,235,245
276,290,308,293,265,245,259
416,431,452,438,406,385,399
438,452,471,458,428,406,416
385,399,416,406,372,353,365
458,471,491,479,447,428,438
353,365,385,372,339,320,335
479,491,512,500,467,447,458
320,335,353,339,308,290,304
500,512,532,522,488,467,479
290,304,320,308,276,259,271
522,532,553,542,510,488,500
510,522,542,534,502,478,488
502,510,534,523,492,469,478
492,502,523,514,482,460,469
482,492,514,506,474,450,460
345,355,378,367,338,315,323
378,384,409,400,367,345,355
409,415,440,432,400,378,384
440,450,474,463,432,409,415
474,482,506,496,463,440,450
315,323,345,338,307,286,292
292,302,323,315,286,263,270
270,279,302,292,263,243,247
247,258,279,270,243,221,227
227,236,258,247,221,200,206
206,217,236,227,200,182,190
217,224,246,236,206,190,197
224,235,256,246,217,197,202
235,245,265,256,224,202,218
245,259,276,265,235,218,225
259,271,290,276,245,225,241
431,444,462,452,416,399,411
452,462,484,471,438,416,431
399,411,431,416,385,365,380
471,484,504,491,458,438,452
365,380,399,385,353,335,347
491,504,524,512,479,458,471
335,347,365,353,320,304,314
512,524,543,532,500,479,491
304,314,335,320,290,271,285
532,543,563,553,522,500,512
271,285,304,290,259,241,253
553,563,584,573,542,522,532
542,553,573,564,534,510,522
534,542,564,555,523,502,510
523,534,555,546,514,492,502
514,523,546,537,506,482,492
506,514,537,529,496,474,482
338,345,367,362,333,307,315
367,378,400,391,362,338,345
400,409,432,424,391,367,378
432,440,463,455,424,400,409
463,474,496,486,455,432,440
496,506,529,518,486,463,474
307,315,338,333,305,280,286
286,292,315,307,280,261,263
263,270,292,286,261,240,243
243,247,270,263,240,216,221
221,227,247,243,216,196,200
200,206,227,221,196,173,182
182,190,206,200,173,154,160
190,197,217,206,182,160,169
197,202,224,217,190,169,177
202,218,235,224,197,177,186
218,225,245,235,202,186,198
225,241,259,245,218,198,211
241,253,271,259,225,211,223
444,457,476,462,431,411,427
462,476,495,484,452,431,444
411,427,444,431,399,380,394
484,495,516,504,471,452,462
380,394,411,399,365,347,361
504,516,535,524,491,471,484
347,361,380,365,335,314,331
524,535,556,543,512,491,504
314,331,347,335,304,285,298
543,556,574,563,532,512,524
285,298,314,304,271,253,267
563,574,595,584,553,532,543
