"V1","V2","V3","V4","V5","V6","V7"
391,418,420,392,362,361,388
418,446,448,420,391,388,416
420,448,450,421,392,391,418
392,420,421,395,365,362,391
362,391,392,365,335,333,361
361,388,391,362,333,332,359
388,416,418,391,361,359,387
446,476,478,448,418,416,444
448,478,481,450,420,418,446
416,444,446,418,388,387,415
450,481,486,453,421,420,448
421,450,453,424,395,392,420
365,392,395,367,338,335,362
395,421,424,396,367,365,392
335,362,365,338,308,305,333
333,361,362,335,305,304,332
332,359,361,333,304,303,330
359,387,388,361,332,330,357
387,415,416,388,359,357,386
476,503,507,478,446,444,473
478,507,508,481,448,446,476
444,473,476,446,416,415,443
481,508,511,486,450,448,478
415,443,444,416,387,386,413
486,511,513,485,453,450,481
453,486,485,454,424,421,450
424,453,454,428,396,395,421
338,365,367,339,310,308,335
367,395,396,368,339,338,365
396,424,428,397,368,367,395
308,335,338,310,280,279,305
305,333,335,308,279,278,304
304,332,333,305,278,277,303
303,330,332,304,277,276,302
330,357,359,332,303,302,328
357,386,387,359,330,328,355
386,413,415,387,357,355,383
503,532,536,507,476,473,502
507,536,540,508,478,476,503
473,502,503,476,444,443,470
508,540,537,511,481,478,507
443,470,473,444,415,413,440
511,537,542,513,486,481,508
413,440,443,415,386,383,410
513,542,541,512,485,486,511
485,513,512,484,454,453,486
454,485,484,458,428,424,453
428,454,458,429,397,396,424
310,338,339,311,282,280,308
339,367,368,341,311,310,338
368,396,397,370,341,339,367
397,428,429,401,370,368,396
280,308,310,282,255,254,279
279,305,308,280,254,253,278
278,304,305,279,253,252,277
277,303,304,278,252,251,276
276,302,303,277,251,250,275
302,328,330,303,276,275,301
328,355,357,330,302,301,327
355,383,386,357,328,327,353
383,410,413,386,355,353,381
532,561,563,536,503,502,530
536,563,570,540,507,503,532
502,530,532,503,473,470,499
540,570,567,537,508,507,536
470,499,502,473,443,440,469
537,567,569,542,511,508,540
440,469,470,443,413,410,439
542,569,566,541,513,511,537
410,439,440,413,383,381,408
541,566,565,539,512,513,542
512,541,539,509,484,485,513
484,512,509,482,458,454,485
458,484,482,457,429,428,454
429,458,457,430,401,397,428
282,310,311,286,256,255,280
311,339,341,313,286,282,310
341,368,370,343,313,311,339
370,397,401,372,343,341,368
401,429,430,403,372,370,397
255,280,282,256,231,230,254
254,279,280,255,230,229,253
253,278,279,254,229,227,252
252,277,278,253,227,226,251
251,276,277,252,226,224,250
250,275,276,251,224,222,249
275,301,302,276,250,249,274
301,327,328,302,275,274,300
327,353,355,328,301,300,326
353,381,383,355,327,326,352
381,408,410,383,353,352,378
561,587,590,563,532,530,557
563,590,595,570,536,532,561
530,557,561,532,502,499,527
570,595,598,567,540,536,563
499,527,530,502,470,469,496
567,598,597,569,537,540,570
469,496,499,470,440,439,466
569,597,594,566,542,537,567
439,466,469,440,410,408,436
566,594,593,565,541,542,569
408,436,439,410,381,378,407
565,593,589,562,539,541,566
539,565,562,535,509,512,541
509,539,535,510,482,484,512
482,509,510,480,457,458,484
457,482,480,455,430,429,458
430,457,455,425,403,401,429
256,282,286,257,232,231,255
286,311,313,287,257,256,282
313,341,343,315,287,286,311
343,370,372,345,315,313,341
372,401,403,373,345,343,370
403,430,425,402,373,372,401
231,255,256,232,206,205,230
230,254,255,231,205,204,229
229,253,254,230,204,202,227
227,252,253,229,202,200,226
226,251,252,227,200,199,224
224,250,251,226,199,197,222
222,249,250,224,197,195,220
249,274,275,250,222,220,246
274,300,301,275,249,246,273
300,326,327,301,274,273,299
326,352,353,327,300,299,325
352,378,381,353,326,325,351
378,407,408,381,352,351,377
587,612,616,590,561,557,585
590,616,620,595,563,561,587
557,585,587,561,530,527,555
595,620,624,598,570,563,590
527,555,557,530,499,496,525
598,624,622,597,567,570,595
496,525,527,499,469,466,493
597,622,621,594,569,567,598
466,493,496,469,439,436,464
594,621,617,593,566,569,597
436,464,466,439,408,407,433
593,617,615,589,565,566,594
407,433,436,408,378,377,404
589,615,614,586,562,565,593
562,589,586,560,535,539,565
535,562,560,531,510,509,539
510,535,531,506,480,482,509
480,510,506,479,455,457,482
455,480,479,451,425,430,457
425,455,451,423,402,403,430
232,256,257,233,208,206,231
257,286,287,262,233,232,256
287,313,315,289,262,257,286
315,343,345,318,289,287,313
345,372,373,347,318,315,343
373,403,402,375,347,345,372
402,425,423,400,375,373,403
206,231,232,208,183,182,205
205,230,231,206,182,181,204
204,229,230,205,181,178,202
202,227,229,204,178,177,200
200,226,227,202,177,174,199
199,224,226,200,174,173,197
197,222,224,199,173,171,195
195,220,222,197,171,165,192
220,246,249,222,195,192,219
246,273,274,249,220,219,244
273,299,300,274,246,244,270
299,325,326,300,273,270,298
325,351,352,326,299,298,324
351,377,378,352,325,324,350
377,404,407,378,351,350,376
612,637,642,616,587,585,609
616,642,643,620,590,587,612
585,609,612,587,557,555,581
620,643,647,624,595,590,616
555,581,585,557,527,525,552
624,647,646,622,598,595,620
525,552,555,527,496,493,520
622,646,645,621,597,598,624
493,520,525,496,466,464,490
621,645,644,617,594,597,622
464,490,493,466,436,433,460
617,644,641,615,593,594,621
433,460,464,436,407,404,432
615,641,638,614,589,593,617
404,432,433,407,377,376,399
614,638,636,611,586,589,615
586,614,611,583,560,562,589
560,586,583,556,531,535,562
531,560,556,529,506,510,535
506,531,529,501,479,480,510
479,506,501,475,451,455,480
451,479,475,447,423,425,455
423,451,447,422,400,402,425
208,232,233,209,184,183,206
233,257,262,234,209,208,232
262,287,289,264,234,233,257
289,315,318,291,264,262,287
318,345,347,320,291,289,315
347,373,375,349,320,318,345
375,402,400,374,349,347,373
400,423,422,398,374,375,402
183,206,208,184,161,160,182
182,205,206,183,160,157,181
