"V1","V2"
419,427
444,448
467,470
492,492
516,514
540,535
561,558
585,578
606,598
625,620
643,638
661,655
677,671
685,687
694,696
430,440
454,462
479,483
502,505
526,528
549,549
574,570
596,591
616,612
639,633
656,652
674,670
690,685
700,699
710,711
711,717
441,454
464,475
489,497
514,520
539,541
563,562
584,583
608,604
629,626
650,645
667,664
684,682
701,697
716,712
723,723
728,731
451,469
474,490
499,510
523,532
547,554
572,576
595,596
617,617
640,637
658,656
680,675
697,694
714,710
727,724
737,736
741,744
744,750
462,484
486,504
510,524
533,547
558,568
581,590
605,609
627,628
651,649
670,668
689,689
708,705
724,721
739,737
749,749
757,757
760,764
470,499
496,519
519,540
543,560
567,581
591,602
613,622
636,641
657,662
679,681
699,700
718,716
736,733
751,747
762,761
771,770
777,776
774,779
482,513
505,534
530,553
554,574
576,594
600,615
622,635
642,653
665,674
686,691
706,709
726,728
742,743
759,760
773,771
781,785
789,790
790,794
490,529
513,548
537,566
564,587
586,608
609,627
631,646
653,665
676,684
696,703
717,720
735,738
754,754
766,769
780,784
792,792
798,800
804,806
497,542
520,561
544,580
568,599
592,621
614,639
638,658
659,677
682,695
703,714
720,730
740,748
758,763
775,777
791,791
800,802
810,812
813,817
507,555
531,575
552,593
577,611
599,632
621,650
644,669
664,688
688,704
705,722
729,739
747,755
765,772
782,786
796,799
809,813
819,822
824,825
512,569
536,589
560,607
583,624
607,643
628,663
652,679
673,698
695,715
715,732
734,751
755,766
772,780
787,795
803,808
816,820
826,830
833,835
834,837
518,582
542,600
565,619
589,636
611,654
635,672
655,690
678,706
698,725
719,740
738,756
756,774
776,787
793,803
808,815
821,827
832,836
838,843
841,845
524,595
546,610
570,630
594,648
615,666
637,683
660,701
681,718
702,734
721,752
743,767
761,782
778,796
795,811
811,823
825,833
836,842
845,849
529,605
550,623
575,640
597,659
620,676
641,692
663,708
683,727
704,742
725,759
746,775
764,789
783,804
799,816
814,828
827,839
839,846
528,614
555,634
578,651
601,667
623,686
645,702
666,719
687,735
707,753
730,768
748,783
768,797
784,810
802,824
817,834
829,844
842,851
603,678
626,693
648,707
669,726
692,741
712,758
732,773
752,788
769,801
786,814
806,826
820,838
647,713
671,729
693,745
713,762
733,778
753,793
770,807
788,819
805,831
818,841
709,765
731,781
750,798
395,406
372,386
349,365
327,345
303,326
282,307
260,289
237,269
216,251
195,234
177,215
159,205
142,191
126,180
406,420
382,400
359,379
337,358
315,340
291,321
269,302
248,285
225,266
206,250
186,232
169,222
154,209
138,197
415,433
391,414
369,395
347,374
324,356
301,337
280,317
257,299
236,281
215,264
198,252
181,236
162,227
427,447
404,429
380,407
358,388
335,370
311,352
290,333
267,315
247,295
227,282
209,271
192,256
437,463
414,443
390,422
368,403
344,385
322,366
299,348
279,331
256,314
238,298
220,287
448,479
422,459
399,438
374,419
351,399
330,381
308,364
288,347
266,330
246,316
458,494
433,472
407,452
383,432
360,415
338,398
318,378
297,362
276,346
465,507
440,488
416,468
392,449
371,430
348,410
326,394
305,377
473,523
450,502
426,482
403,464
379,444
356,425
334,408
313,391
484,536
460,517
434,498
410,478
386,460
361,441
341,423
487,550
466,531
439,511
418,493
394,473
370,453
495,563
471,545
449,527
424,506
400,485
500,577
477,556
453,539
503,586
409,413
432,434
456,455
481,477
504,501
527,522
548,544
573,564
593,585
612,606
632,625
649,644
662,661
672,673
675,680
398,401
420,421
445,442
469,465
493,486
515,508
535,530
559,551
579,573
598,592
619,613
633,629
646,647
654,660
388,387
411,409
435,431
455,451
480,474
501,495
525,516
545,537
566,559
587,579
604,597
618,616
630,631
634,642
377,375
401,397
423,418
446,439
468,461
488,481
511,503
532,525
551,546
569,565
588,584
602,603
610,618
367,360
389,383
412,405
436,428
457,450
475,471
498,491
517,512
538,533
557,552
571,571
582,588
590,601
354,350
378,371
397,392
421,416
442,436
463,458
485,480
506,500
521,521
541,538
553,557
343,339
366,359
387,382
408,402
431,424
452,446
472,467
491,489
509,509
522,526
534,543
332,329
355,351
376,372
396,390
417,412
438,435
459,456
476,476
494,496
508,515
323,322
345,341
364,361
384,384
405,404
425,426
443,445
461,466
314,313
333,336
353,355
373,376
393,396
413,417
304,308
325,327
346,349
363,369
298,305
317,324
336,343
385,393
362,373
339,353
316,332
294,311
271,293
249,274
226,255
204,235
185,220
166,204
145,187
130,174
116,165
104,153
375,380
350,357
328,338
306,319
283,296
262,277
239,258
217,241
196,225
175,206
156,188
137,172
122,158
106,148
90,137
80,130
365,368
340,344
319,325
295,306
272,286
251,265
229,246
208,228
187,210
165,193
146,175
127,160
110,146
96,133
81,122
69,114
352,354
329,335
307,312
284,292
263,272
242,254
221,233
199,213
179,195
157,178
139,161
120,147
102,132
87,116
73,107
57,97
49,91
342,342
320,320
296,300
275,279
254,260
232,242
211,224
189,202
167,185
147,167
128,151
109,134
92,115
76,105
64,93
52,83
40,77
331,328
309,309
287,291
264,270
243,249
222,230
201,211
182,192
161,171
140,155
121,138
103,123
86,108
70,95
56,80
42,71
35,63
28,56
321,318
300,297
277,276
255,257
235,238
213,219
193,200
173,181
152,164
133,143
112,128
94,112
77,98
62,81
48,70
37,61
26,49
17,44
310,310
289,290
268,268
245,248
224,229
205,208
184,189
164,169
143,152
124,135
107,117
88,103
71,88
55,74
41,62
29,48
18,38
13,32
302,301
281,278
261,259
240,239
218,221
197,201
178,182
158,163
136,145
119,127
100,111
84,94
66,78
50,64
36,51
24,40
15,31
7,23
293,294
274,273
252,253
233,231
212,212
190,194
171,173
151,154
131,136
111,118
93,100
74,86
58,72
43,58
30,45
19,33
9,24
3,15
285,288
265,267
244,247
223,226
203,207
183,186
163,168
144,150
125,131
108,113
89,96
72,79
54,65
39,50
27,36
16,26
8,18
2,11
278,284
259,263
241,244
219,223
200,203
180,184
160,166
141,144
123,126
105,109
85,92
68,76
53,60
38,47
25,35
14,22
6,14
273,280
253,261
234,240
214,218
194,199
174,179
155,159
135,141
118,124
99,104
82,89
65,73
47,57
33,43
22,30
11,20
210,214
191,196
172,177
153,157
134,140
115,120
98,102
79,85
61,68
45,54
32,41
21,28
168,176
149,156
132,139
113,119
97,99
75,82
60,66
44,53
31,39
114,121
95,101
78,84
63,67
46,55
