"V1","V2","V3","V4"
0,0,36,0
0,0,93,7
0,0,93,7
0,0,57,0
0,0,59,0
0,0,12,0
0,2,30,0
0,25,45,0
0,7,67,0
0,20,49,0
0,0,94,2
0,3,26,0
0,0,31,14
0,0,18,0
0,0,21,0
0,0,20,7
0,0,54,0
0,0,107,0
0,0,39,0
0,0,48,0
0,0,38,0
0,0,72,0
0,19,50,3
0,11,64,1
0,13,97,4
0,5,58,0
0,0,40,0
0,0,55,0
0,0,70,1
0,0,36,2
0,0,0,0
0,0,55,0
0,0,39,0
0,13,4,0
0,6,37,0
0,0,81,0
0,0,5,0
0,0,32,0
0,12,28,7
0,21,55,8
0,6,55,0
0,0,107,2
0,0,67,0
0,0,48,0
0,0,62,0
0,0,36,3
0,0,0,0
0,25,28,0
0,0,1,0
0,17,5,0
0,0,78,0
0,0,49,0
0,0,63,0
0,0,22,0
0,0,57,5
0,0,80,0
0,5,57,0
0,36,33,0
0,0,68,0
0,0,58,0
0,0,56,0
0,0,27,0
0,0,18,3
0,0,0,0
0,15,41,0
0,25,47,0
0,0,29,0
0,0,46,0
0,0,24,0
0,11,72,2
0,1,22,10
0,0,73,1
0,0,49,0
0,10,55,0
0,3,47,0
0,7,54,0
0,0,50,0
0,3,58,0
0,19,40,0
0,0,28,4
0,0,0,0
0,0,5,0
0,33,3,0
0,16,31,0
0,0,50,0
0,7,72,0
0,32,75,0
0,0,51,1
0,0,39,0
0,0,78,0
0,0,31,0
0,0,35,15
0,13,36,7
0,0,31,0
0,0,26,0
0,9,10,0
0,0,39,0
0,0,0,0
0,0,0,0
0,17,0,0
0,3,2,0
0,0,5,0
0,14,0,0
0,8,50,0
0,7,8,0
0,0,82,0
0,5,74,0
0,0,47,0
0,17,39,0
0,13,24,0
0,10,25,5
0,0,20,0
0,9,29,0
0,20,30,0
0,7,16,0
0,0,20,6
0,0,0,0
0,21,0,0
0,8,3,0
0,4,0,0
0,44,29,0
0,16,54,0
0,18,76,0
0,29,54,0
0,22,40,1
0,23,17,0
0,4,41,0
0,0,45,0
0,0,50,0
0,0,31,0
0,0,60,0
0,0,16,0
0,10,6,0
0,0,1,0
0,0,0,0
0,2,1,0
0,28,31,0
0,11,5,0
0,26,17,0
0,46,4,0
0,41,43,0
0,30,17,0
0,12,27,0
0,36,44,0
0,10,51,0
0,3,24,0
0,0,26,0
0,1,8,0
0,2,49,0
0,12,8,0
0,18,66,0
0,0,38,0
0,0,0,0
0,0,0,0
0,33,0,0
0,19,3,0
0,37,0,0
0,37,0,0
0,31,28,0
0,32,25,0
0,28,0,0
0,34,13,0
0,56,13,0
0,28,59,0
0,31,33,0
0,12,47,0
0,24,28,0
0,15,30,0
0,11,12,0
0,0,15,0
0,0,9,0
0,7,0,0
0,6,0,0
0,5,0,0
0,70,0,0
0,50,0,0
0,23,9,0
7,99,0,0
0,40,3,0
0,24,31,0
0,47,45,0
0,17,55,0
0,29,26,0
0,31,48,0
0,18,10,0
0,12,21,0
0,11,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,49,0,0
0,39,0,0
0,29,0,0
0,25,0,0
0,46,0,0
0,42,45,0
0,35,17,0
2,69,0,0
0,49,0,0
0,43,7,0
0,40,0,0
0,32,15,0
0,12,0,0
0,4,28,0
0,17,27,0
9,20,0,0
0,49,0,0
0,0,0,0
0,0,0,0
0,26,0,0
0,77,30,0
0,23,0,0
0,22,0,0
0,4,0,0
0,28,5,0
8,54,3,0
0,40,0,0
0,32,0,0
0,60,0,0
0,83,0,0
0,50,0,0
0,36,10,0
0,26,5,0
0,58,6,0
12,71,0,0
0,11,0,0
0,0,0,0
0,0,20,0
0,5,15,0
0,11,23,0
0,66,3,0
0,105,0,0
0,59,6,0
0,60,8,0
0,29,11,0
0,24,2,0
0,27,8,0
0,18,0,0
0,74,0,0
0,115,0,0
0,35,0,0
0,8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,31,0,0
0,64,10,0
4,94,7,0
0,40,0,0
0,33,7,0
0,34,19,0
0,29,14,0
0,21,0,0
0,36,0,0
0,72,0,0
0,25,0,0
0,12,0,0
0,0,0,0
0,0,0,0
0,13,0,0
0,0,0,0
0,42,0,0
0,114,0,0
0,56,9,0
2,14,0,0
0,25,0,0
0,26,0,0
0,54,0,0
0,29,0,0
0,0,0,0
0,0,0,0
0,5,0,0
0,7,0,0
0,82,2,0
0,59,0,0
0,8,0,0
0,35,0,0
0,0,0,0
0,7,0,0
0,0,0,0
0,0,0,0
0,5,0,0
12,10,0,0
0,0,0,0
0,0,135,0
0,0,23,0
0,0,17,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,29,0
0,16,61,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,21,0
0,11,36,0
0,3,55,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,10,12,0
0,0,1,0
0,1,3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,6,0,0
0,30,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,8,7,0
0,1,0,0
0,16,0,0
0,8,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,41,0,0
0,14,0,0
0,36,0,0
0,16,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,21,0,0
5,45,0,0
0,17,0,0
0,6,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,9,0,0
1,0,0,0
0,3,0,0
0,39,0,0
2,33,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10,47,0,0
0,35,0,0
0,32,0,0
0,10,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,103,0,0
0,33,0,0
0,19,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,6,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,25,0,0
0,3,0,0
0,0,0,0
0,0,0,0
0,0,53,0
0,0,48,9
0,0,48,0
0,0,77,6
0,0,48,1
0,1,45,0
0,1,59,0
0,3,89,4
0,11,51,0
0,0,15,0
0,0,14,1
0,0,61,0
0,7,36,0
0,0,29,0
0,0,0,0
0,0,75,3
0,0,23,0
0,0,63,7
0,0,64,8
0,21,57,44
0,0,77,12
0,0,13,4
0,8,36,0
0,7,72,0
0,9,9,0
0,0,0,0
0,10,79,0
0,7,33,0
0,0,16,0
0,0,45,0
0,0,30,14
0,0,83,0
0,0,47,1
0,12,44,0
0,9,61,0
9,25,27,0
3,8,45,0
0,0,70,0
0,0,52,0
0,0,50,0
0,0,29,9
0,0,1,0
0,0,0,0
0,0,80,1
0,0,89,2
0,0,35,1
0,0,99,2
0,10,63,0
0,9,95,2
0,4,56,5
0,11,47,0
0,0,56,3
0,0,20,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,47,0
0,0,29,0
0,0,27,0
0,1,68,0
0,0,41,0
0,10,29,0
0,13,38,0
0,0,26,0
0,0,45,7
0,0,5,2
0,0,0,0
0,0,14,0
0,0,0,0
0,0,54,0
0,0,43,4
0,0,77,0
0,5,71,2
0,0,41,0
0,0,96,0
0,0,15,0
0,0,42,0
0,0,75,1
0,0,49,0
0,0,0,0
0,0,31,2
0,12,128,0
0,0,58,0
0,7,47,0
0,3,68,0
0,4,46,0
0,0,31,0
0,0,60,10
0,0,1,0
0,0,1,0
0,0,0,0
0,0,45,0
0,0,81,0
0,0,52,0
0,0,2,0
0,0,9,0
0,0,39,0
0,0,22,5
0,0,31,14
0,0,0,8
0,0,0,0
0,0,23,0
0,1,44,0
0,0,6,0
0,0,9,0
0,0,0,23
0,0,0,42
0,0,0,12
0,0,0,0
0,0,7,0
0,2,41,0
0,0,17,0
0,0,28,9
0,0,11,8
0,0,0,0
0,0,0,0
0,0,51,0
0,0,16,20
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,62,9
0,0,50,0
0,0,25,0
0,0,6,0
0,0,0,0
0,0,9,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,10,0
0,4,11,0
0,0,54,0
0,0,9,0
0,0,16,0
0,0,15,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,35,0
0,26,45,0
