"ind","x","y"
391,0,0
418,1,0
420,1,1
392,0,1
362,-1,0
361,-1,-1
388,0,-1
446,2,0
448,2,1
416,1,-1
450,2,2
421,1,2
365,-1,1
395,0,2
335,-2,0
333,-2,-1
332,-2,-2
359,-1,-2
387,0,-2
476,3,0
478,3,1
444,2,-1
481,3,2
415,1,-2
486,3,3
453,2,3
424,1,3
338,-2,1
367,-1,2
396,0,3
308,-3,0
305,-3,-1
304,-3,-2
303,-3,-3
330,-2,-3
357,-1,-3
386,0,-3
503,4,0
507,4,1
473,3,-1
508,4,2
443,2,-2
511,4,3
413,1,-3
513,4,4
485,3,4
454,2,4
428,1,4
310,-3,1
339,-2,2
368,-1,3
397,0,4
280,-4,0
279,-4,-1
278,-4,-2
277,-4,-3
276,-4,-4
302,-3,-4
328,-2,-4
355,-1,-4
383,0,-4
532,5,0
536,5,1
502,4,-1
540,5,2
470,3,-2
537,5,3
440,2,-3
542,5,4
410,1,-4
541,5,5
512,4,5
484,3,5
458,2,5
429,1,5
282,-4,1
311,-3,2
341,-2,3
370,-1,4
401,0,5
255,-5,0
254,-5,-1
253,-5,-2
252,-5,-3
251,-5,-4
250,-5,-5
275,-4,-5
301,-3,-5
327,-2,-5
353,-1,-5
381,0,-5
561,6,0
563,6,1
530,5,-1
570,6,2
499,4,-2
567,6,3
469,3,-3
569,6,4
439,2,-4
566,6,5
408,1,-5
565,6,6
539,5,6
509,4,6
482,3,6
457,2,6
430,1,6
256,-5,1
286,-4,2
313,-3,3
343,-2,4
372,-1,5
403,0,6
231,-6,0
230,-6,-1
229,-6,-2
227,-6,-3
226,-6,-4
224,-6,-5
222,-6,-6
249,-5,-6
274,-4,-6
300,-3,-6
326,-2,-6
352,-1,-6
378,0,-6
587,7,0
590,7,1
557,6,-1
595,7,2
527,5,-2
598,7,3
496,4,-3
597,7,4
466,3,-4
594,7,5
436,2,-5
593,7,6
407,1,-6
589,7,7
562,6,7
535,5,7
510,4,7
480,3,7
455,2,7
425,1,7
232,-6,1
257,-5,2
287,-4,3
315,-3,4
345,-2,5
373,-1,6
402,0,7
206,-7,0
205,-7,-1
204,-7,-2
202,-7,-3
200,-7,-4
199,-7,-5
197,-7,-6
195,-7,-7
220,-6,-7
246,-5,-7
273,-4,-7
299,-3,-7
325,-2,-7
351,-1,-7
377,0,-7
612,8,0
616,8,1
585,7,-1
620,8,2
555,6,-2
624,8,3
525,5,-3
622,8,4
493,4,-4
621,8,5
464,3,-5
617,8,6
433,2,-6
615,8,7
404,1,-7
614,8,8
586,7,8
560,6,8
531,5,8
506,4,8
479,3,8
451,2,8
423,1,8
208,-7,1
233,-6,2
262,-5,3
289,-4,4
318,-3,5
347,-2,6
375,-1,7
400,0,8
183,-8,0
182,-8,-1
181,-8,-2
178,-8,-3
177,-8,-4
174,-8,-5
173,-8,-6
171,-8,-7
165,-8,-8
192,-7,-8
219,-6,-8
244,-5,-8
270,-4,-8
298,-3,-8
324,-2,-8
350,-1,-8
376,0,-8
637,9,0
642,9,1
609,8,-1
643,9,2
581,7,-2
647,9,3
552,6,-3
646,9,4
520,5,-4
645,9,5
490,4,-5
644,9,6
460,3,-6
641,9,7
432,2,-7
638,9,8
399,1,-8
636,9,9
611,8,9
583,7,9
556,6,9
529,5,9
501,4,9
475,3,9
447,2,9
422,1,9
184,-8,1
209,-7,2
234,-6,3
264,-5,4
291,-4,5
320,-3,6
349,-2,7
374,-1,8
398,0,9
161,-9,0
160,-9,-1
157,-9,-2
156,-9,-3
